Extracted_Name,Frequency,Main_Name_Mapping
白花蛇,15,NOISE
尋思,15,NOISE
老僧,15,NOISE
元帥,15,NOISE
明朗,15,NOISE
聞達,15,NOISE
智多星,15,吴用
閻羅,15,NOISE
宋江正,15,NOISE
宋江分,15,NOISE
祝龍,15,NOISE
孫新,15,NOISE
燕青便,15,NOISE
宋某,15,NOISE
文德殿,15,NOISE
王煥,15,王焕
王文德,15,王文德
玉田,15,NOISE
王文斌,15,NOISE
大恩,14,NOISE
郎君,14,NOISE
阿叔,14,NOISE
阿嫂,14,NOISE
母夜叉,14,NOISE
黑大漢,14,李逵
宋江笑,14,NOISE
歸順,14,NOISE
孫新顧,14,NOISE
柴皇城,14,NOISE
秋毫,14,NOISE
飛虎峪,14,NOISE
宋江令,14,NOISE
晉寧,14,NOISE
高平,14,NOISE
于玉麟,14,NOISE
張世開,14,NOISE
劉敏,14,NOISE
高可立,14,NOISE
亦且,13,NOISE
施禮,13,NOISE
老公,13,NOISE
小霸王,13,NOISE
宋江只,13,NOISE
宋江再,13,NOISE
馬步軍,13,NOISE
魏定國,13,魏定国
楚明玉,13,NOISE
費珍,13,NOISE
陳將士,13,NOISE
錢振鵬,13,NOISE
夏侯成,13,NOISE
鄭魔君,13,NOISE
從那,12,NOISE
馬來,12,NOISE
朱仝雷,12,NOISE
宋江回,12,NOISE
白虎山,12,NOISE
馬都監,12,NOISE
戴宗便,12,NOISE
宋江先,12,NOISE
玄女,12,NOISE
李鬼,12,NOISE
石秀自,12,NOISE
扈家莊,12,NOISE
解寶,12,解宝
雷凌振,12,NOISE
宿元景,12,宿元景
賈氏,12,NOISE
於天子,12,NOISE
董澄,12,NOISE
薛燦,12,NOISE
孫琪,12,NOISE
金鼎,12,NOISE
厲天閏,12,NOISE
呂師囊,12,NOISE
宿歇,11,NOISE
牛羊,11,NOISE
了那,11,NOISE
老漢,11,NOISE
智深,11,鲁智深
崔道成,11,NOISE
英勇,11,NOISE
鹿角,11,NOISE
霍地,11,NOISE
弓弦,11,NOISE
吳學,11,NOISE
太師府,11,NOISE
宋家村,11,NOISE
呼保義,11,宋江
王公,11,NOISE
李廣花,11,NOISE
宋江因,11,NOISE
穆太公,11,NOISE
扈成,11,NOISE
曠野,11,NOISE
丁得孫,11,NOISE
梅展,11,NOISE
蕭讓樂,11,NOISE
左丞相,11,NOISE
顏小將軍,11,NOISE
黃鉞,11,NOISE
黃達,11,NOISE
段太公,11,NOISE
奚勝,11,NOISE
丹徒,11,NOISE
李吉,10,NOISE
馬飛,10,NOISE
李四,10,NOISE
碧玉,10,NOISE
一地,10,NOISE
仰天,10,NOISE
齊鳴,10,NOISE
東溪村,10,NOISE
阮氏三雄,10,NOISE
烏雲,10,NOISE
那漢,10,NOISE
胡正卿,10,NOISE
金眼彪,10,NOISE
李廣花榮,10,花荣
朱纓,10,NOISE
方天戟,10,NOISE
戴宗回,10,NOISE
郎石秀,10,NOISE
林沖,999,林冲
魯智深,999,鲁智深
