Extracted_Name,Frequency,Main_Name_Mapping
弓弦,11,NOISE
曹仁引,11,NOISE
呂翔,11,NOISE
甘寧,11,NOISE
吳軍,11,NOISE
闞澤,11,NOISE
趙範,11,NOISE
鄧賢,11,NOISE
左慈,11,NOISE
賈逵,11,NOISE
朱褒,11,NOISE
呂凱,11,NOISE
祁山之,11,NOISE
馬懿懿,11,司马懿
秦朗,11,NOISE
文欽,11,NOISE
玄德回,10,NOISE
汝可引,10,NOISE
玄德關,10,NOISE
董太后,10,NOISE
何太后,10,NOISE
伊尹,10,NOISE
祖宗,10,NOISE
冷笑,10,NOISE
張溫,10,NOISE
於堂,10,NOISE
大恩,10,NOISE
西涼兵,10,NOISE
西涼軍,10,NOISE
臧霸,10,NOISE
顏良,10,NOISE
馬軍,10,NOISE
寶劍,10,NOISE
明公,10,NOISE
韓胤,10,NOISE
鹿角,10,NOISE
玄德便,10,NOISE
雲長,10,关羽
曹營,10,NOISE
張允,10,NOISE
顧雍,10,NOISE
孔明只,10,NOISE
子敬,10,鲁肃
言孔明,10,NOISE
孔明引,10,NOISE
鄂煥,10,NOISE
孟優,10,NOISE
馬遵,10,NOISE
蔣舒,10,NOISE
諸葛緒,10,NOISE
匡扶,9,NOISE
黃蓋韓,9,NOISE
李典樂,9,NOISE
蒯良,9,NOISE
蒯越,9,NOISE
諸公,9,NOISE
於軍,9,NOISE
馬飛,9,NOISE
張揚,9,NOISE
馬挺,9,NOISE
玄德方,9,NOISE
操引兵,9,NOISE
伏皇后,9,NOISE
紀靈,9,NOISE
張英,9,NOISE
諸郡,9,NOISE
玄德同,9,NOISE
劉季玉,9,NOISE
卞喜,9,NOISE
袁熙,9,NOISE
鳳雛,9,庞统
仁德,9,NOISE
韓浩,9,NOISE
孔明先,9,NOISE
孫將軍,9,NOISE
黃公覆,9,黄盖
劉賢,9,NOISE
喬國老,9,NOISE
黃奎,9,NOISE
馬超超,9,NOISE
楊修,9,NOISE
申耽,9,NOISE
馮習,9,NOISE
楊鋒,9,NOISE
諸葛瞻,9,NOISE
何晏,9,NOISE
孫亮,9,NOISE
孫峻,9,NOISE
司馬望,9,NOISE
