Extracted_Name,Frequency,Main_Name_Mapping
曹官魏,5,NOISE
胡敬德,5,尉迟恭
丹青,5,NOISE
金銀,5,NOISE
榮華,5,NOISE
化生寺,5,NOISE
金蟬子,5,唐僧
木耳,5,NOISE
浮屠,5,NOISE
黃風嶺,5,NOISE
唐僧哩,5,唐僧
沙僧歇,5,NOISE
沙僧正,5,NOISE
萬壽山,5,NOISE
元大仙,5,镇元大仙
唐師父,5,唐僧
連馬,5,NOISE
柳樹,5,NOISE
蓬萊,5,NOISE
白鸚哥,5,NOISE
馬道,5,NOISE
黃金寶,5,NOISE
道賢弟,5,NOISE
寶貝來,5,NOISE
唐僧肉,5,唐僧
寶山,5,NOISE
乾旱,5,NOISE
帥眾,5,NOISE
唐僧喜,5,唐僧
孫爺,5,孙悟空
那虎力,5,虎力大仙
國王聞,5,NOISE
妙哉,5,NOISE
陳關保,5,陈关保
梅花,5,NOISE
白森森,5,NOISE
何干,5,NOISE
老婆婆,5,NOISE
那星官,5,NOISE
山碧波,5,NOISE
荊棘嶺,5,NOISE
亢金龍,5,亢金龙
小西天,5,NOISE
包兒,5,NOISE
王妃,5,NOISE
春亭,5,NOISE
閻浮,4,NOISE
滿心歡,4,NOISE
道德,4,NOISE
天同壽,4,NOISE
王敖廣,4,NOISE
敖欽,4,NOISE
秦廣王,4,秦广王
馬監,4,NOISE
孫老孫,4,孙悟空
張掛,4,NOISE
星君,4,NOISE
那九曜,4,NOISE
那老君,4,太上老君
九曜,4,九曜星君
蒙玉帝,4,NOISE
丁力士,4,NOISE
寶剎,4,NOISE
釋迦,4,如来
謝道,4,NOISE
雲棧,4,NOISE
那龍,4,NOISE
岳丈,4,NOISE
相公,4,NOISE
唐太宗,4,唐太宗
秦叔寶,4,秦叔宝
太宗笑,4,唐太宗
道卿,4,NOISE
那三宮,4,NOISE
李翠蓮,4,李翠莲
小乘,4,NOISE
謝伯欽,4,NOISE
劉伯欽,4,刘伯钦
老夫,4,NOISE
牛耳,4,NOISE
望唐僧,4,NOISE
那小龍,4,NOISE
曹六丁,4,NOISE
孫名,4,NOISE
高太公,4,高太公
烏巢禪,4,乌巢禅师
海翻江,4,NOISE
黃風,4,黄风怪
天晴,4,NOISE
李長庚,4,太白金星
立於,4,NOISE
瑞靄,4,NOISE
松柏,4,NOISE
那仙童,4,NOISE
石獅子,4,NOISE
大小便,4,NOISE
言三藏,4,NOISE
子山波,4,NOISE
王正,4,NOISE
諸神,4,NOISE
沙兄弟,4,沙和尚
黑松林,4,NOISE
王聞,4,NOISE
那弼,4,NOISE
北斗,4,NOISE
唐僧才,4,唐僧
伏虎降,4,NOISE
老公,4,NOISE
寶方,4,NOISE
雲光徑,4,NOISE
紅雲,4,NOISE
令尊,4,NOISE
念聲,4,NOISE
那小和尚,4,NOISE
白毛,4,NOISE
唐僧勒,4,唐僧
龍孫,4,NOISE
施威,4,NOISE
唐聖僧,4,唐僧
那真仙,4,NOISE
玉帝差,4,NOISE
饒命,4,NOISE
周天之,4,NOISE
雷山,4,NOISE
牛王聞,4,NOISE
碧波,4,NOISE
又變作一,4,NOISE
普賢,4,普贤菩萨
黃眉,4,黄眉老佛
木蛟,4,角木蛟
烏雲,4,NOISE
比丘王,4,比丘国国王
王法,4,NOISE
柳林坡,4,NOISE
小娘兒,4,NOISE
大王子,4,NOISE
猪八戒,999,猪八戒
八戒,999,猪八戒
呆子,999,猪八戒
孙悟空,999,孙悟空
悟空,999,孙悟空
行者,999,孙悟空
大圣,999,孙悟空
齐天大圣,999,孙悟空
三藏,999,唐僧
唐三藏,999,唐僧
菩萨,999,观音菩萨
观音,999,观音菩萨
牛魔王,999,牛魔王
觀音,999,观音菩萨
菩薩,999,观音菩萨
豬八戒,999,猪八戒
孫悟空,999,孙悟空
齊天大聖,999,孙悟空
如來佛祖,999,如来
如來,999,如来
鐵扇公主,999,铁扇公主
白龍馬,999,白龙马
